Adab_(city)
Aegina
Agra
Agrigento
Ahmedabad
Ahmednagar
Akkad_(city
Akrotiri_(Santorini)
Aleppo
Alexandria
Amalfi
Amarna
Amsterdam
Ancient_Linzi
Angkor
Ani
Anshan_(Persia)
Antioch
Antwerp
Anuradhapura
Anyang
Aquileia
Argos
Arles
Athens
Augsburg
Autun
Avaris
Ayodhya
Ayutthaya_(city)
Babylon
Bacalar
Bad-tibira
Badami
Bagan
Baghdad
Bago,_Burma
Balkh
Basra
Beijing
Benares
Berlin
Bruges
Bursa
Byzantium
Cádiz
Cairo
Calah
Capua
Carnuntum
Carthage
Cerveteri
Chan_Chan
Chang'an
Chengdu
Chenla
Chicheng
Chifeng
Choirokoitia
Chunar
Cologne
Constantinople
Copenhagen
Corinth
Crotone
Ctesiphon
Cuicuilco
Cusco
Cuttack
Dali_City,_Yunnan
Datong
Delhi
Dhar
Dobrovody
Dur-Kurigalzu
Ebla
Ecbatana
Edo
El_Mirador
Ephesus
Eridu
Erlitou
Fanyang
Fedorovka,_Ukraine
Fengxiang_County
Fes,_Morocco
Florence
Fustat
Gao
Gaur,_West_Bengal
Genoa
Ghent
Glasgow
Granada
Guangzhou
Gwalior
Habuba_Kabira
Hangzhou
Haojing
Harappa
Hastinapur
Hattushash
Heliopolis_(Ancient_Egypt)
Herakleopolis_Magna
History_of_Patna
Houma,_Shanxi
Isin
Istanbul
Izapa
Jaunpur,_Uttar_Pradesh
Jericho
Jerusalem
Jiangling_County
Jiankang
Jinzhou
Kagoshima
Kaifeng
Kalburgi
Kalinjar
Kalyan,_India
Kanazawa,_Ishikawa
Kanchi
Kannauj
Kano
Kerch
Kerma
Kesh_(Sumer)
Khajuraho
Khambhat
Kiev
Kish_(Sumer)
Knossos
Kollam
Kosambi
Kyoto
Lagash
Lahore
Larsa
Lepenski_Vir
Lhasa
Liverpool
London
Lugdunum
Luoyang
Madrid
Madurai
Mainz
Malia,_Crete
Manchester
Mandsaur
Mandu,_Madhya_Pradesh
Manika,_Greece
Manyakheta
Mari,_Syria
Marib
Marrakech
Maydanets
Mehrgarh
Memphis,_Egypt
Merv
Mexico_City
Milan
Miletus
Mohenjo-daro
Moscow
Mycenae
Nabadwip
Nagoya
Namazga-Tepe
Nanjing
Naples
Nara,_Nara
Nea_Nikomedeia
Nekhen
New_York_City
Nimes
Nimrud
Niniveh
Nippur
Nishapur
Okoliste
Osaka
Ostia_Antica
Oyo-Ile
Paithan
Palaikastro
Palermo
Paris
Patala
Pataliputra
Patna
Peshawar
Philadelphia
Philippi
Pi-Ramses
Pliska
Polonnaruwa
Populonia
Pozzuoli
Prambanan
Preslav
Puri
Pyay
Pyongyang
Qufu
Ray,_Iran
Regensburg
Rhodes_(city)
Rome
Saint_Petersburg
Sais
Salona
Samarkand
Sarai_(city)
Seleucia
Seoul
Sesklo
Seville
Shahr-i_Sokhta
Shangqiu
Shizuoka,_Shizuoka
Shuruppak
Sialkot
Sparta
Sravasti
Susa
Suzhou
Sybaris
Syracuse,_Sicily
Tabriz
Taiyuan
Taosi
Taranto
Tarquinia
Taxila
Tel_Hazor
Tell_Brak
Tell_Leilan
Tenochtitlan
Texcoco,_Mexico_State
Thanjavur
Thebes,_Egypt
Thebes,_Greece
Thessaloniki
Tikal
Tiryns
Tokyo
Tres_Zapotes
Trier
Tula_(Mesoamerican_site)
Ujjain
Umma
Ur
Uruk
Vaisali
Veii
Veliky_Novgorod
Venice
Vienna
Vijayanagara
Vinča-Belo_Brdo
Volsinii
Vulci
Wanzhou_District
Warangal
Xi'an
Xiadu
Xianyang
Xinzheng
Xuchang
Yamaguchi,_Yamaguchi
Ye,_China
Yinxu
Ypres
Zabala_(Sumer)
Zhengzhou
