5(Lenny_Kravitzalbum
A_for_Andromeda
Aerosmith
Aim_for_the_Top_2!
Alan_Ayckbourn
Alien_Resurrection
Alienator
Alita
Alkhema
All_Purpose_Cultural_Cat_Girl_Nuku_Nuku
Almost_Human_(TV_series)
Android_18
Android(film
Andromeda_(TV_series)
Andromeda_Galaxy
Andromeda(TVseries
Anime
Anne_Robinson
Arale_Norimaki
Arcee
Armitage_III
Austin_Powers_(film_series)
Autograph_(American_band)
Bad_Wolf
Bahu_Hamari_Rajni_Kant
Barbarella(film
Battle_Angel_Alita
Battlestar_Galactica_(2004_TV_series)
Bicentennial_Man_(film)
Bionic_Woman_(2007_TV_series)
Bishōjo
Blade_Runner
Blade_Runner_(1997_video_game)
Blassreiter
BlazBlue:_Calamity_Trigger
BlazBlue:_Chronophantasma
BlazBlue:_Continuum_Shift
Bonus_Stage
Boomer(anime_term
Borg(Star_Trek
Broken_Bells
Bubblegum_Crisis
Buffy_the_Vampire_Slayer_(TV_series)
Buffybot
Buttobi_CPU
Calliope_Jones
Cameron(Terminator
Chachamaru_Karakuri
Characters_of_Persona_3#Aegis.2FAigis
Characters_of_Persona_3#Metis
Characters_of_Persona_4#Labrys
Characters_of_the_Mass_Effect_universe#EDI
Charles_Stross
Cherry_2000
Chobits
Chris_Beckett
Christina_Hendricks
Clamp_(manga_artists)
Comic_Potential_(play)
Cutie_Honey
Cybergirl
Cybermen
Cyberwoman
Cyborg
Cyborg_2
Cyborg_Noodle
Cyborg_She
Cyborg(film
Cyborgs_in_fiction
Cylon(reimagining
Danger_Room
Danger_Room#Sentience_revealed
Data_(Star_Trek)
Davina_McCall
Days_of_Our_Lives
Demonbane
Der_Sandmann
Doctor_Who
Doomsday_(Doctor_Who)
Doraemon
Dors_Venabili
Down_for_the_Count
Dr._Goldfoot_and_the_Bikini_Machine
Dr._Goldfoot_and_the_Girl_Bombs
Dr._Slump
Dragon_Ball
DuckTales
Dural_(Virtua_Fighter)
E.T.A._Hoffmann
Earth:_Final_Conflict
Electric_Barbarella
Elita_One
Ellen_Tigh
Episode
Ergo_Proxy
Espionage
Eve_of_Destruction_(film)
Ex_Machina_(film)
Family_Guy
Floyd_Gottfredson
Foundation_Series
Frank_Miller_(comics)
Futurama
Galatea_(video_game)
Galaxina
Geof_Darrow
Ghost_in_the_Shell
Ghost_in_the_Shell_2:_Innocence
Ghost_in_the_Shell:_S.A.C._2nd_GIG
Ghost_in_the_Shell:_Stand_Alone_Complex
GLaDOS
Go_Nagai
Gorillaz
Guyferd
Gynoid
Hajime_Sorayama
Hand_Maid_May
Hannah_Banana
Hard_Boiled_(comics)
Hari_Seldon
Hatsune_Miku
HBO
Heaven's_Lost_Property
Helen_O'Loy
Henceforward...
