'80s_Robot
*batteries_not_included
4LOM
9(2009_animatedfilm
A_Clever_Dummy
A_Tale_of_Time_City
A._E._van_Vogt
A.I._Artificial_Intelligence
A.P.E.X.
Adam_Link
Al_Pacino
Alien_3
Alien_Resurrection
Alien(film
Aliens(film
Alison_Prince
Ambrose_Bierce
And_You_Thought_Your_Parents_Were_Weird
André_Deed
Andrew_Davidson_(illustrator)
Android_(robot)
Android_Re-Enactment
Android(film
Android(robot
Aphrodite
Apollonius_of_Rhodes
Argonautica
Arnold_Schwarzenegger
Artificial_life
Astounding_Science_Fiction
Astro_Boy
Astro_Boy_(film)
Auguste_Villiers_de_l'Isle-Adam
Austin_Powers_in_Goldmember
Austin_Powers_series
Austin_Powers:_International_Man_of_Mystery
Austin_Powers:_The_Spy_Who_Shagged_Me
Autobot
Autobots
Automaton
Automaton#Modern_automata
Avengers:_Age_of_Ultron
B-4_(Star_Trek)
Battle_Droid
Battle_for_Terra
Baymax
Ben_Turpin
Bender_Bending_Rodríguez
Big_Hero_6_(film)
Bill&_Ted's_BogusJourney
Billy_Bletcher
Bionicle_2:_Legends_of_Metru_Nui
Bishop_(Aliens)
Blade_Runner
Blankman
Boilerplate_(robot)
Brazen_head
Brian_Aldiss
Brigitte_Helm
Britney_Spears
BURN-E
C-3PO
C._L._Moore
C.H.O.M.P.S.
Chappie(film)
Charles_Sheffield
Charles_Stross
Cherry_2000
Chopping_Mall
City(novel
Clash_of_the_Titans_(1981_film)
Clifford_D._Simak
Colossus:_The_Forbin_Project
Concept_Album
Coppélia
Cosmos:_War_of_the_Planets
Cyborg_2087
Cyborg_Noodle
Cyprus
Czech_language
D.A.R.Y.L.
Dan_Simmons
David_Gerrold
David_H._Keller
David_Weber
David_Weber#Safehold_series
Deadly_Friend
Decepticon
Decepticons
Demon_Seed
Der_Sandmann
Devil_Girl_from_Mars
Diana_Wynne_Jones
Direct-to-DVD
Discworld
Disney
Divergence(novel
Do_Androids_Dream_of_Electric_Sheep?
Doctor_Satan's_Robot
Dorothy_Stratten
Douglas_Adams
Dr._Goldfoot_and_the_Bikini_Machine
Dr._Goldfoot_and_the_Girl_Bombs
E._T._A._Hoffmann
Eando_Binder
Earthsearch
Edmond_Hamilton
Edmund_Spenser
Edward_S._Ellis
Eliminators
Enthiran
Eric_Frank_Russell
Eva(2011film
Eve_of_Destruction_(film)
Evolver(film
Ex_Machina_(film)
F._Orlin_Tremaine
Fahrenheit_451
Fake_Songs
Farewell_to_the_Master
Feet_of_Clay_(novel)
First_Spaceship_on_Venus
Flash_Gordon
Flight_of_the_Navigator
Flubber(film
For_a_Breath_I_Tarry
Forbidden_Planet
Frank_Reade_and_his_Electric_Man
Frankenstein
Frankenstein_Meets_the_Space_Monster
Frankenstein's_monster
Friday_the_13th_(franchise)
Fritz_Lang
Fritz_Leiber
Futurama
Futurama_films
Futureworld
Galatea_(mythology)
Galaxina
Gangster_World
Gaston_Leroux
Ghost_in_the_Shell
Gnut
Godzilla_(franchise
Godzilla_vs._King_Ghidorah
Godzilla_vs._Megalon
Golem
Golems_(Discworld)
Gorillaz
Gort_(The_Day_the_Earth_Stood_Still)
Guillotine
Gustave_Le_Rouge
Gynoid
H._G._Wells'_The_Shape_of_Things_to_Come
Hal_Roach
Halloween_III:_Season_of_the_Witch
Halloween(franchise
Hardware(film
Harl_Vincent
Harry_Bates_(author)
Harry_Piel
He,_She_and_It
Heartbeeps
Heavy_Metal_(film)
Helen_O'Loy
Hellboy_II:_The_Golden_Army
Henry_Kuttner
Hephaestus
Hip_hop_music
Hollywood(2002film
Homer
Hot_Cars,_Cold_Facts
Humanoid
I_Sing_the_Body_Electric_(Bradbury)
I,_Robot
I,_Robot_(film)
I,_Robot_(short_story)
IG-88
Ilia_(Star_Trek)
Iliad
Ilium(novel
Inspector_Gadget_(film)
Inspector_Gadget_2
Interstellar(film
Invasion_of_the_Neptune_Men
Ira_Levin
Isaac_Asimov
Isacc_Asimov
Jack_Williamson
Jacques_Offenbach
James_Follett
James_Spader
Janelle_Monáe
Janet_Asimov
Jason_and_the_Argonauts_(1963_film)
Jason_X
Jet_Jaguar
Joel_Shepherd
John_Sladek
John_Wyndham_(writer)
Johnny_5
Kalevala
Kannada_cinema
Karel_Čapek
Ken_MacLeod
Kilroy_Was_Here
King_Kong_Escapes
Kristanna_Loken
Kronos(film
L._Frank_Baum
Léo_Delibes
Lester_del_Rey
Lewis_Padgett
Liam_Lynch_(musician)
List_of_Bionicle_characters
List_of_Bioniclemedia#Films
List_of_fictional_computers
Lluís_Homar
Logan's_Run
Logan's_Run_(1976_film)
Lost_in_Space
Lost_in_Space_(film)
Luis_Senarens
Mack_Sennett
Making_Mr._Right
Manga
Marge_Piercy
Marius_Petipa
Martian
Marvin_the_Paranoid_Android
Mary_Shelley
Masamune_Shirow
Maschinenmensch
Master_of_the_World_(1934_film)
Matrix_trilogy
Maurice_Renard
Mechagodzilla
Mechani-Kong
Meet_the_Robinsons
Message_from_Space
Metropolis_(1927_film)
Metropolis(1927film
Metropolis(2001film
Michael_Fassbender
Ming_the_Merciless
Minority_Report_(film)
Moguera
Moon(film
Moravec_(robot)
Mother_Riley_Meets_the_Vampire
Moxon's_Master
Mr._Roboto
My_Name_Is_Legion_(Zelazny_stories)
Mysterious_Doctor_Satan
National_Lampoon_Inc
Natural_City
Nebula_Award_for_Best_Novella
Next_Avengers:_Heroes_of_Tomorrow
Nineteen_Ninety-Four
Norby
Not_Quite_Human
NS-5
Oblivion(2013film
Omnidroid
Ozma_of_Oz
Pandora
Patsy_Kelly
Paul_Bettany
Personoid
Philip_K._Dick
Pindar
Plastic_Beach
Plato
Pliny_the_Elder
Precrime
Prehistoric
Project_2501
Prometheus(2012film
Pygmalion_(mythology)
R._Daneel_Olivaw
R._Giskard_Reventlov
R.U.R.(Rossum's_UniversalRobots
R.U.R.(Rossum's_UniversalRobots)
R2-D2
R4-P17
Rachel_Roberts_(model)
Rajinikanth
Ralph_Bakshi
Ray_Bradbury
Real_Steel
Red_Planet_(film)
Regalo_a_sorpresa
Replicant
Return_to_Oz
Rick_Deckard
Ro-Man
Robby_the_Robot
Robert_Mason_(writer)
Robert_Moore_Williams
Robert_Patrick
Robert_Silverberg
Robin_Williams
RoboCop_3
RoboCop(1987film
RoboDoc
Robot
Robot_Monster
Robot_names
Robot_Torg
Robotics
Robots_Have_No_Tails
Robots_in_literature
Robots(2005film
Rock_opera
Rocky_IV
Roderick(novel
Roger_Bacon
Roger_MacBride_Allen
Roger_McBride_Allen#Caliban
Roger_Zelazny
Rottweiler(film
Rudy_Rucker
Runaway(1984film
Russell_Crowe
S._Fowler_Wright
S1M0NE
Santa_Claus_Conquers_the_Martians
Saturn_3
Saturn's_Children_(Stross_novel)
Science_fiction_film
Science_Officer_Ash
Scooby-Doo!_and_the_Samurai_Sword
Screamers(1995film
Second_Variety
Short_Circuit_(1986_film)
Short_Circuit_2
Short_film
Silent_film
Silent_Running
Sleeper(1973film
Solo_(1996_film)
Solo_(Mason_novel)
Solo(1996film
Solo(Masonnovel
Sonny_Chiba
Spaceballs
SpaceCamp
Spaced_Invaders
Special:BookSources/0312280610
Stacey_Williams
Stanisław_Lem
Star_Odyssey
Star_Trek_Nemesis
Star_Trek:_The_Motion_Picture
Star_Wars
Star_Wars_(film)
Star_Wars:_Episode_I_–_The_Phantom_Menace
Star_Wars:_Episode_II_–_Attack_of_the_Clones
Star_Wars:_Episode_III_–_Revenge_of_the_Sith
Starcrash
Starship_Invasions
Statue
Stealth(film
Styx(band
Super_Capers
Superargo_and_the_Faceless_Giants
Superhero
Superman
Syndrome_Character
T-1000
T-X
Tacitus
Tales_of_Pirx_the_Pilot
Talmud
Talos
Tanith_Lee
Target_Earth_(film)
Ted_Hughes
Terminator_(character)
Terminator_2:_Judgment_Day
Terminator_3:_Rise_of_the_Machines
Terminator_Genisys
Terminator_Salvation
Terry_Pratchett
The_Adventures_of_Pluto_Nash
The_Animatrix
The_Animatrix#.22The_Second_Renaissance_Part_I.22
The_Animatrix#.22The_Second_Renaissance_Part_II.22
The_Atlantic_Monthly
The_Bicentennial_Man
The_Black_Hole
The_Caves_of_Steel
The_Colossus_of_New_York
The_Creation_of_the_Humanoids
The_Cyberiad
The_Day_the_Earth_Stood_Still
The_Day_the_Earth_Stood_Still_(2008_film)
The_Earth_Dies_Screaming
The_Electric_Grandmother
The_Faerie_Queene
The_Future_Eve
The_Hitchhiker's_Guide_to_the_Galaxy
The_Incredibles
The_Invisible_Boy
The_Iron_Giant
The_Iron_Man_(novel)
The_Last_of_the_Masters
The_Last_Starfighter
The_Lego_Movie
The_Matrix
The_Mechanical_Man
The_Mechanical_Monsters
The_Muppets_(film)
The_Mysterians
The_Oz_Books
The_Positronic_Man
The_Rest_of_the_Robots
The_Robot_vs._The_Aztec_Mummy
The_Robots_of_Dawn
The_Santa_Clause_2
The_Steam_Man_of_the_Prairies
The_Stepford_Wives
The_Tales_of_Hoffmann
The_Terminator
The_Terrornauts
The_Transformers:_The_Movie
The_Twilight_Zone_(1959_TV_series)
The_Type_One_Super_Robot
The_Walt_Disney_Company
Thelma_Todd
Thomas_Edison
Thomas_Pynchon
Three_Men_in_a_Boat
THX_1138
Tik-Tok_(novel)
Tik-Tok_(Oz)
Toaster
Tobor_the_Great
Total_Recall_(1990_film)
Toys(1992film
Transformers
Transformers:_Revenge_of_the_Fallen
Transformers(film
Transmorphers
Treasure_Planet
Tron
True_Confession
Ultron
Unidentified_Flying_Oddball
V.
Vahki
Vanessa_Kensington
Vault_of_the_Beast
Venusians
Victor_Frankenstein
Vincent_Price
Virtual_band
Virtuosity
Vision_(Marvel_Comics)
Voyage_to_the_Planet_of_Prehistoric_Women
Voyage_to_the_Prehistoric_Planet
WALL-E
Wallace&_Gromit_in_The_WrongTrousers
Walter_Franck
War_of_the_Robots_(film)
Ware_Tetralogy
Weapon(novel
Westworld
When_HARLIE_Was_One
William_Witney
Wizards(film
Yul_Brynner
Zeus
